"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.03.2020","379,09","375,03","402,71","368,87","120,04M","1,69%"
"23.02.2020","372,80","407,45","408,73","367,70","136,23M","-9,98%"
"16.02.2020","414,13","404,45","419,02","403,56","73,79M","2,49%"
"09.02.2020","404,08","392,16","404,12","389,85","77,69M","2,93%"
"02.02.2020","392,56","384,34","395,94","382,25","73,82M","2,18%"
"26.01.2020","384,18","384,33","389,82","382,03","79,02M","-0,58%"
"19.01.2020","386,41","373,02","386,44","371,65","61,45M","3,18%"
"12.01.2020","374,49","357,35","374,60","356,87","60,54M","4,75%"
"05.01.2020","357,50","356,65","358,83","351,90","62,24M","0,13%"
"29.12.2019","357,03","360,23","360,23","354,64","30,92M","-0,97%"
"22.12.2019","360,53","359,71","361,41","357,70","22,17M","0,17%"
"15.12.2019","359,93","350,96","359,93","350,96","91,31M","2,79%"
"08.12.2019","350,15","342,33","352,01","338,27","71,48M","2,44%"
"01.12.2019","341,80","343,60","344,62","333,72","70,38M","-0,54%"
"24.11.2019","343,65","340,36","345,95","340,34","67,90M","1,15%"
"17.11.2019","339,73","340,85","345,65","338,65","68,22M","-0,28%"
"10.11.2019","340,68","339,14","344,41","337,44","65,22M","0,51%"
"03.11.2019","338,94","344,68","345,42","335,51","73,88M","-1,60%"
"27.10.2019","344,46","344,54","347,05","336,85","65,64M","0,06%"
"20.10.2019","344,26","342,33","346,52","340,41","56,56M","0,69%"
"13.10.2019","341,89","340,92","345,40","338,64","64,99M","0,18%"
"06.10.2019","341,27","338,23","341,75","333,35","62,43M","0,88%"
"29.09.2019","338,29","341,37","345,88","333,07","69,64M","-0,92%"
"22.09.2019","341,42","336,45","343,97","336,04","64,78M","1,35%"
"15.09.2019","336,86","329,64","339,68","327,44","93,55M","2,18%"
"08.09.2019","329,67","331,70","334,76","322,10","74,88M","-0,67%"
"01.09.2019","331,90","330,41","337,52","329,39","60,95M","0,50%"
"25.08.2019","330,26","321,74","331,79","320,83","57,39M","2,51%"
"18.08.2019","322,17","323,98","326,63","321,82","54,21M","-0,41%"
"11.08.2019","323,49","316,62","324,54","314,08","67,54M","2,21%"
"04.08.2019","316,49","320,46","321,27","314,82","73,23M","-1,38%"
"28.07.2019","320,91","323,40","326,30","315,29","84,52M","-0,78%"
"21.07.2019","323,42","322,70","328,59","321,12","62,77M","0,06%"
"14.07.2019","323,23","323,29","327,74","321,82","64,32M","-0,03%"
"07.07.2019","323,32","323,82","326,67","321,18","62,33M","-0,28%"
"30.06.2019","324,22","319,69","331,12","316,30","68,41M","1,53%"
"23.06.2019","319,34","326,31","326,66","316,52","67,22M","-2,02%"
"16.06.2019","325,91","323,42","330,52","320,45","96,08M","0,79%"
"09.06.2019","323,34","323,07","323,73","319,47","54,69M","0,07%"
"02.06.2019","323,12","308,24","324,73","306,83","70,05M","4,77%"
"26.05.2019","308,40","314,00","315,68","305,23","65,68M","-1,62%"
"19.05.2019","313,48","312,19","315,03","308,16","66,45M","0,31%"
"12.05.2019","312,52","310,55","314,15","309,90","83,02M","0,52%"
"05.05.2019","310,91","312,81","315,50","307,41","68,82M","-0,79%"
"28.04.2019","313,37","313,61","315,88","310,69","58,66M","-0,26%"
"21.04.2019","314,18","310,62","314,64","308,36","47,77M","1,08%"
"14.04.2019","310,82","312,25","313,97","306,01","50,85M","-0,45%"
"07.04.2019","312,21","318,00","319,09","311,64","65,18M","-1,70%"
"31.03.2019","317,61","316,86","320,07","314,10","71,18M","0,44%"
"24.03.2019","316,23","318,89","321,05","314,77","68,63M","-1,12%"
"17.03.2019","319,82","315,84","320,57","315,48","65,40M","1,17%"
"10.03.2019","316,11","312,80","318,01","311,73","85,65M","1,19%"
"03.03.2019","312,40","308,51","315,39","306,18","64,60M","1,45%"
"24.02.2019","307,93","309,56","310,91","306,20","66,05M","-0,49%"
"17.02.2019","309,45","307,22","311,57","305,96","61,70M","0,63%"
"10.02.2019","307,50","305,12","310,06","305,12","61,51M","0,83%"
"03.02.2019","304,96","306,55","309,70","304,42","60,06M","-0,52%"
"27.01.2019","306,56","301,01","308,46","299,97","67,04M","1,67%"
"20.01.2019","301,53","299,03","304,81","296,60","61,28M","0,30%"
"13.01.2019","300,64","293,03","301,17","291,30","63,01M","2,24%"
"06.01.2019","294,05","291,15","295,40","289,76","77,21M","1,03%"
"30.12.2018","291,06","284,61","291,70","281,44","42,49M","2,59%"
"23.12.2018","283,71","289,06","289,22","277,68","39,51M","-2,04%"
"16.12.2018","289,61","294,55","296,75","286,39","94,88M","-1,91%"
"09.12.2018","295,24","284,20","296,57","279,44","75,97M","3,56%"
"02.12.2018","285,09","287,08","290,13","281,84","65,73M","-0,47%"
"25.11.2018","286,43","285,33","292,53","284,97","76,25M","0,59%"
"18.11.2018","284,74","286,57","289,88","283,42","73,09M","-0,69%"
"11.11.2018","286,71","290,37","294,64","284,76","81,67M","-1,38%"
"04.11.2018","290,73","279,28","291,17","279,28","63,12M","4,13%"
"28.10.2018","279,19","275,81","281,34","275,51","63,85M","1,11%"
"21.10.2018","276,12","280,03","282,00","273,62","68,63M","-1,26%"
"14.10.2018","279,63","270,94","280,32","269,70","64,47M","3,27%"
"07.10.2018","270,78","281,64","283,25","270,76","76,76M","-3,84%"
"30.09.2018","281,59","283,18","288,00","280,35","62,70M","-0,59%"
"23.09.2018","283,27","285,94","286,96","281,63","57,55M","-0,99%"
"16.09.2018","286,10","281,79","286,75","280,72","99,76M","1,52%"
"09.09.2018","281,83","284,28","289,54","281,43","72,60M","-0,79%"
"02.09.2018","284,06","284,75","286,11","281,80","73,63M","-0,40%"
"26.08.2018","285,20","287,89","288,45","284,88","58,42M","-0,73%"
"19.08.2018","287,30","288,98","291,42","286,81","51,21M","-0,53%"
"12.08.2018","288,82","287,91","291,10","286,44","55,67M","0,08%"
"05.08.2018","288,58","290,81","292,50","287,73","61,40M","-0,73%"
"29.07.2018","290,70","295,43","296,12","287,86","89,18M","-1,70%"
"22.07.2018","295,74","295,67","297,52","290,99","63,85M","-0,32%"
"15.07.2018","296,68","298,79","299,94","294,38","63,12M","-0,65%"
"08.07.2018","298,62","302,13","302,40","296,45","61,71M","-1,43%"
"01.07.2018","302,96","290,26","302,96","287,87","70,75M","4,18%"
"24.06.2018","290,81","289,14","293,14","287,52","73,10M","0,27%"
"17.06.2018","290,02","294,64","294,64","287,47","77,58M","-1,72%"
"10.06.2018","295,10","286,39","297,67","286,39","103,85M","3,14%"
"03.06.2018","286,12","288,85","293,83","285,51","78,41M","-0,54%"
"27.05.2018","287,66","294,19","297,11","286,13","111,57M","-2,22%"
"20.05.2018","294,19","301,60","303,55","291,55","86,88M","-2,56%"
"13.05.2018","301,92","299,37","302,46","295,98","99,03M","0,91%"
"06.05.2018","299,20","302,86","304,74","297,06","83,61M","-1,18%"
"29.04.2018","302,78","297,05","303,04","296,50","75,97M","2,01%"
"22.04.2018","296,81","291,13","297,28","288,27","70,10M","2,01%"
"15.04.2018","290,96","289,95","292,51","287,59","66,97M","0,34%"
"08.04.2018","289,97","287,43","290,06","284,02","69,92M","1,10%"
"01.04.2018","286,81","282,83","288,06","281,23","60,80M","1,32%"
"25.03.2018","283,06","274,43","284,93","272,19","71,36M","3,20%"
"18.03.2018","274,27","279,67","279,67","271,40","83,15M","-1,99%"
"11.03.2018","279,84","276,81","282,29","276,81","118,26M","1,45%"
"04.03.2018","275,85","263,70","277,27","262,22","85,80M","4,54%"
"25.02.2018","263,86","275,90","276,77","263,49","86,41M","-4,00%"
