,Ultimo,Apertura,Massimo,Minimo
2015-01-02,19130.26,19156.72,19246.76,18919.65
2015-01-04,19130.26,19130.26,19130.26,19130.26
2015-01-05,18188.44,18961.03,19190.24,18188.44
2015-01-06,18143.26,18298.26,18523.74,18041.32
2015-01-07,18123.45,18226.43,18478.11,17991.76
2015-01-08,18791.83,18393.0,18857.66,18247.95
2015-01-09,18177.09,18684.58,18849.2,18052.81
2015-01-12,18349.15,18310.17,18429.68,18031.76
2015-01-13,18708.93,18251.29,18790.39,18229.34
2015-01-14,18410.68,18451.36,18849.02,18400.66
2015-01-15,18844.52,18646.93,18970.97,18066.31
2015-01-16,19254.54,18763.42,19254.54,18731.5
2015-01-19,19480.53,19255.25,19609.08,19149.35
2015-01-20,19658.66,19545.68,19729.23,19481.78
2015-01-21,19981.41,19724.05,19981.41,19449.93
2015-01-22,20469.74,20021.25,20556.29,20012.41
2015-01-23,20519.75,20594.37,20676.7,20389.24
2015-01-26,20756.72,20348.83,20756.72,20238.95
2015-01-27,20645.82,20714.78,20778.39,20454.82
2015-01-28,20478.44,20759.47,20802.73,20422.92
2015-01-29,20593.72,20413.93,20645.51,20231.29
2015-01-30,20503.38,20679.5,20723.22,20411.02
2015-02-02,20485.69,20596.35,20605.18,20286.43
2015-02-03,21011.55,20626.97,21011.55,20602.55
2015-02-04,20941.73,21005.73,21072.42,20848.98
2015-02-05,20819.05,20731.47,20859.19,20621.43
2015-02-06,20760.74,20824.7,20892.52,20703.95
2015-02-09,20366.64,20534.11,20604.9,20246.54
2015-02-10,20725.63,20417.94,20798.19,20330.09
2015-02-11,20565.76,20785.8,20794.6,20518.44
2015-02-12,21002.91,20543.72,21060.71,20496.59
2015-02-13,21204.07,21106.98,21287.81,21088.43
2015-02-16,21165.84,21145.22,21280.73,21079.37
2015-02-17,21266.25,21070.15,21328.25,20890.41
2015-02-18,21659.33,21495.77,21659.33,21453.38
2015-02-19,21789.98,21620.19,21801.61,21531.91
2015-02-20,21842.57,21628.07,21852.62,21609.64
2015-02-23,21964.29,22040.61,22083.47,21862.77
2015-02-24,22149.75,21969.49,22167.17,21775.59
2015-02-25,21937.24,22109.47,22133.32,21853.07
2015-02-26,22165.13,21934.63,22172.62,21910.34
2015-02-27,22337.79,22175.65,22338.82,22098.43
2015-03-02,22297.6,22381.46,22514.89,22184.06
2015-03-03,21987.18,22365.8,22410.97,21942.47
2015-03-04,22131.08,22087.24,22131.08,21860.52
2015-03-05,22400.08,22230.03,22444.44,22124.02
2015-03-06,22436.13,22449.49,22575.4,22370.82
2015-03-09,22564.35,22345.2,22567.89,22250.32
2015-03-10,22345.77,22594.3,22631.37,22280.21
2015-03-11,22833.04,22409.4,22860.68,22408.78
2015-03-12,22809.01,22828.24,22893.1,22772.87
2015-03-13,22713.59,22907.37,22924.8,22579.89
2015-03-16,22930.92,22784.96,23008.89,22756.57
2015-03-17,22723.06,22961.06,22987.55,22603.55
2015-03-18,22565.19,22790.94,22818.55,22397.86
2015-03-19,22805.17,22656.76,22915.49,22644.88
2015-03-20,23176.68,22904.69,23203.57,22767.55
2015-03-23,23057.12,23177.59,23196.95,23014.12
2015-03-24,23333.2,23022.31,23381.86,22977.9
2015-03-25,23145.1,23256.77,23366.5,23128.58
2015-03-26,22900.27,22993.4,23062.98,22659.62
2015-03-27,22984.23,23022.2,23048.06,22745.48
