,Ultimo,Apertura,Massimo,Minimo
2018-02-15,285.0,285.0,285.0,285.0
2018-02-16,286.52,286.52,286.52,286.52
2018-02-19,285.19,285.19,285.19,285.19
2018-02-20,284.98,284.98,284.98,284.98
2018-02-21,285.23,285.23,285.23,285.23
2018-02-22,284.71,284.71,284.71,284.71
2018-02-23,285.06,285.06,285.06,285.06
2018-02-26,286.02,286.02,286.02,286.02
2018-02-27,286.46,286.46,286.46,286.46
2018-02-28,286.94,286.94,286.94,286.94
2018-03-01,287.85,287.85,287.85,287.85
2018-03-02,287.84,287.84,287.84,287.84
2018-03-05,286.46,286.46,286.46,286.46
2018-03-06,286.69,286.69,286.69,286.69
2018-03-07,287.53,287.53,287.53,287.53
2018-03-08,289.14,289.14,289.14,289.14
2018-03-09,288.74,288.74,288.74,288.74
2018-03-12,288.71,288.71,288.71,288.71
2018-03-13,288.93,288.93,288.93,288.93
2018-03-14,288.53,288.53,288.53,288.53
2018-03-15,289.22,289.22,289.22,289.22
2018-03-16,289.19,289.19,289.19,289.19
2018-03-19,289.63,289.63,289.63,289.63
2018-03-20,290.96,290.96,290.96,290.96
2018-03-21,290.35,290.35,290.35,290.35
2018-03-22,291.62,291.62,291.62,291.62
2018-03-23,291.79,291.79,291.79,291.79
2018-03-26,290.79,290.79,290.79,290.79
2018-03-27,292.05,292.05,292.05,292.05
2018-03-28,292.72,292.72,292.72,292.72
2018-03-29,294.07,294.07,294.07,294.07
2018-04-03,293.84,293.84,293.84,293.84
2018-04-04,295.04,295.04,295.04,295.04
2018-04-05,294.33,294.33,294.33,294.33
2018-04-06,294.18,294.18,294.18,294.18
2018-04-09,294.54,294.54,294.54,294.54
2018-04-10,293.89,293.89,293.89,293.89
2018-04-11,294.23,294.23,294.23,294.23
2018-04-12,293.56,293.56,293.56,293.56
2018-04-13,293.99,293.99,293.99,293.99
2018-04-16,293.86,293.86,293.86,293.86
2018-04-17,295.04,295.04,295.04,295.04
2018-04-18,295.89,295.89,295.89,295.89
2018-04-19,294.7,294.7,294.7,294.7
2018-04-20,294.59,294.59,294.59,294.59
2018-04-23,294.35,294.35,294.35,294.35
2018-04-24,294.81,294.81,294.81,294.81
2018-04-25,294.64,294.64,294.64,294.64
2018-04-26,295.41,295.41,295.41,295.41
2018-04-27,295.67,295.67,295.67,295.67
2018-04-30,294.64,294.64,294.64,294.64
2018-05-02,294.73,294.73,294.73,294.73
2018-05-03,295.64,295.64,295.64,295.64
2018-05-04,294.17,294.17,294.17,294.17
2018-05-07,295.2,295.2,295.2,295.2
2018-05-08,292.31,292.31,292.31,292.31
2018-05-09,292.22,292.22,292.22,292.22
2018-05-10,290.96,290.96,290.96,290.96
2018-05-11,292.14,292.14,292.14,292.14
2018-05-14,291.44,291.44,291.44,291.44
2018-05-15,290.69,290.69,290.69,290.69
2018-05-16,286.52,286.52,286.52,286.52
2018-05-17,285.92,285.92,285.92,285.92
2018-05-18,283.67,283.67,283.67,283.67
2018-05-21,279.9,279.9,279.9,279.9
2018-05-22,280.93,280.93,280.93,280.93
2018-05-23,278.99,278.99,278.99,278.99
2018-05-24,279.67,279.67,279.67,279.67
2018-05-25,277.4,277.4,277.4,277.4
2018-05-28,274.78,274.78,274.78,274.78
2018-05-29,278.38,278.38,278.38,278.38
2018-05-30,264.39,264.39,264.39,264.39
2018-05-31,268.07,268.07,268.07,268.07
2018-06-01,273.45,273.45,273.45,273.45
2018-06-04,275.33,275.33,275.33,275.33
2018-06-05,272.18,272.18,272.18,272.18
2018-06-06,267.45,267.45,267.45,267.45
2018-06-07,266.41,266.41,266.41,266.41
2018-06-08,263.25,263.25,263.25,263.25
2018-06-11,269.23,269.23,269.23,269.23
2018-06-12,268.43,268.43,268.43,268.43
2018-06-13,269.47,269.47,269.47,269.47
2018-06-14,271.17,271.17,271.17,271.17
2018-06-15,274.7,274.7,274.7,274.7
2018-06-18,275.85,275.85,275.85,275.85
2018-06-19,275.82,275.82,275.82,275.82
2018-06-20,275.87,275.87,275.87,275.87
2018-06-21,271.82,271.82,271.82,271.82
2018-06-22,272.75,272.75,272.75,272.75
2018-06-25,270.5,270.5,270.5,270.5
