"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.03.2020","3.232,07","3.355,33","3.448,24","3.216,44","394,04M","-2,93%"
"23.02.2020","3.329,49","3.762,35","3.762,35","3.283,18","424,44M","-12,39%"
"16.02.2020","3.800,38","3.843,10","3.867,28","3.776,82","207,41M","-1,06%"
"09.02.2020","3.840,97","3.794,18","3.854,43","3.779,10","177,97M","1,12%"
"02.02.2020","3.798,49","3.646,86","3.808,74","3.641,84","226,40M","4,33%"
"26.01.2020","3.640,91","3.754,63","3.754,63","3.639,44","210,96M","-3,66%"
"19.01.2020","3.779,16","3.804,74","3.805,61","3.734,06","145,95M","-0,76%"
"12.01.2020","3.808,26","3.789,87","3.813,80","3.745,47","144,58M","0,49%"
"05.01.2020","3.789,52","3.764,34","3.807,09","3.710,94","154,06M","0,43%"
"29.12.2019","3.773,37","3.780,44","3.801,13","3.738,45","101,02M","-0,24%"
"22.12.2019","3.782,27","3.775,07","3.794,93","3.767,80","62,92M","0,15%"
"15.12.2019","3.776,56","3.738,91","3.778,47","3.722,57","221,18M","1,22%"
"08.12.2019","3.731,07","3.691,86","3.765,70","3.625,00","171,44M","1,05%"
"01.12.2019","3.692,34","3.703,76","3.729,74","3.594,80","168,97M","-0,30%"
"24.11.2019","3.703,58","3.697,49","3.721,76","3.686,94","143,54M","0,44%"
"17.11.2019","3.687,32","3.711,18","3.733,45","3.651,51","152,42M","-0,65%"
"10.11.2019","3.711,61","3.696,97","3.719,40","3.679,63","171,26M","0,32%"
"03.11.2019","3.699,65","3.631,45","3.708,65","3.631,45","218,87M","2,09%"
"27.10.2019","3.623,74","3.623,84","3.637,94","3.593,60","181,67M","-0,03%"
"20.10.2019","3.624,68","3.583,37","3.631,04","3.578,81","186,86M","1,26%"
"13.10.2019","3.579,41","3.565,38","3.630,43","3.531,23","194,50M","0,27%"
"06.10.2019","3.569,92","3.442,14","3.569,92","3.426,82","162,35M","3,57%"
"29.09.2019","3.446,71","3.545,07","3.588,68","3.398,64","180,72M","-2,80%"
"22.09.2019","3.545,88","3.565,96","3.565,96","3.480,28","158,33M","-0,71%"
"15.09.2019","3.571,39","3.540,47","3.578,04","3.506,36","231,99M","0,60%"
"08.09.2019","3.550,11","3.495,85","3.555,85","3.479,58","220,80M","1,57%"
"01.09.2019","3.495,19","3.426,24","3.495,87","3.406,55","159,89M","2,00%"
"25.08.2019","3.426,76","3.329,73","3.443,08","3.318,33","174,54M","2,77%"
"18.08.2019","3.334,25","3.332,93","3.405,35","3.332,93","159,98M","0,16%"
"11.08.2019","3.329,08","3.340,82","3.380,81","3.239,20","225,78M","-0,14%"
"04.08.2019","3.333,74","3.365,49","3.375,38","3.283,13","211,38M","-1,26%"
"28.07.2019","3.376,12","3.522,36","3.539,94","3.368,66","203,58M","-4,21%"
"21.07.2019","3.524,47","3.478,77","3.573,57","3.476,43","174,53M","1,27%"
"14.07.2019","3.480,18","3.497,99","3.530,11","3.467,25","160,29M","-0,50%"
"07.07.2019","3.497,63","3.525,21","3.531,47","3.492,18","147,00M","-0,86%"
"30.06.2019","3.527,98","3.476,08","3.549,26","3.476,08","174,43M","1,56%"
"23.06.2019","3.473,69","3.466,38","3.476,93","3.424,68","157,94M","0,20%"
"16.06.2019","3.466,92","3.382,45","3.496,79","3.366,87","248,51M","2,60%"
"09.06.2019","3.379,19","3.381,52","3.418,18","3.363,07","140,08M","0,02%"
"02.06.2019","3.378,38","3.274,97","3.391,05","3.248,54","190,27M","2,99%"
"26.05.2019","3.280,43","3.350,60","3.380,85","3.258,04","192,54M","-2,10%"
"19.05.2019","3.350,70","3.417,12","3.426,87","3.323,70","214,38M","-2,19%"
"12.05.2019","3.425,64","3.362,52","3.438,56","3.311,17","218,88M","1,92%"
"05.05.2019","3.361,05","3.487,54","3.487,54","3.346,45","204,75M","-4,04%"
"28.04.2019","3.502,48","3.494,47","3.514,62","3.481,08","182,08M","0,06%"
"21.04.2019","3.500,41","3.494,40","3.515,15","3.476,28","143,49M","0,03%"
"14.04.2019","3.499,23","3.448,91","3.506,82","3.443,56","159,94M","1,49%"
"07.04.2019","3.447,83","3.446,15","3.454,77","3.412,15","172,09M","0,01%"
"31.03.2019","3.447,47","3.353,67","3.453,02","3.353,67","173,16M","2,86%"
"24.03.2019","3.351,71","3.297,41","3.354,30","3.281,97","183,44M","1,39%"
"17.03.2019","3.305,73","3.385,46","3.422,34","3.301,60","201,89M","-2,37%"
"10.03.2019","3.386,08","3.290,76","3.394,32","3.284,68","228,09M","3,12%"
"03.03.2019","3.283,60","3.318,10","3.340,67","3.273,68","205,38M","-0,86%"
"24.02.2019","3.312,10","3.275,02","3.330,48","3.261,03","205,78M","1,27%"
"17.02.2019","3.270,55","3.239,10","3.281,78","3.223,40","154,21M","0,90%"
"10.02.2019","3.241,25","3.142,84","3.247,34","3.142,84","199,30M","3,37%"
"03.02.2019","3.135,62","3.170,30","3.216,13","3.124,62","213,58M","-1,12%"
"27.01.2019","3.171,12","3.157,00","3.177,10","3.129,58","206,99M","0,25%"
"20.01.2019","3.163,24","3.131,85","3.168,03","3.094,48","164,04M","0,90%"
"13.01.2019","3.134,92","3.060,62","3.137,42","3.037,13","192,00M","2,11%"
"06.01.2019","3.070,04","3.050,00","3.089,17","3.016,32","179,18M","0,93%"
"30.12.2018","3.041,85","2.991,40","3.050,66","2.936,76","136,31M","1,85%"
"23.12.2018","2.986,53","2.993,45","2.997,24","2.908,70","131,41M","-0,47%"
"16.12.2018","3.000,61","3.088,97","3.092,82","2.957,56","277,11M","-2,97%"
"09.12.2018","3.092,60","3.054,67","3.128,10","3.007,53","219,10M","1,11%"
"02.12.2018","3.058,53","3.187,33","3.244,98","3.033,95","213,25M","-3,61%"
"25.11.2018","3.173,13","3.151,22","3.197,90","3.151,22","204,18M","1,14%"
"18.11.2018","3.137,21","3.184,51","3.206,58","3.100,77","174,47M","-1,37%"
"11.11.2018","3.180,74","3.237,95","3.248,33","3.158,87","189,92M","-1,51%"
"04.11.2018","3.229,49","3.215,73","3.263,72","3.197,14","181,79M","0,47%"
"28.10.2018","3.214,41","3.139,03","3.251,67","3.123,92","223,93M","2,54%"
"21.10.2018","3.134,89","3.217,55","3.245,87","3.090,85","244,75M","-2,36%"
"14.10.2018","3.210,82","3.193,79","3.282,23","3.180,61","224,59M","0,51%"
"07.10.2018","3.194,41","3.338,02","3.338,02","3.193,40","237,43M","-4,52%"
"30.09.2018","3.345,51","3.399,96","3.425,45","3.343,67","209,42M","-1,58%"
"23.09.2018","3.399,20","3.426,85","3.452,41","3.380,27","212,03M","-0,92%"
