"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"14.02.2020","332,25","332,25","332,25","332,25","-","-0,21%"
"13.02.2020","332,94","332,94","332,94","332,94","-","0,21%"
"12.02.2020","332,24","332,24","332,24","332,24","-","0,44%"
"11.02.2020","330,78","330,78","330,78","330,78","-","-0,21%"
"10.02.2020","331,47","331,47","331,47","331,47","-","-0,02%"
"07.02.2020","331,54","331,54","331,54","331,54","-","0,19%"
"06.02.2020","330,92","330,92","330,92","330,92","-","0,04%"
"05.02.2020","330,80","330,80","330,80","330,80","-","-0,17%"
"04.02.2020","331,37","331,37","331,37","331,37","-","0,15%"
"03.02.2020","330,86","330,86","330,86","330,86","-","-0,31%"
"31.01.2020","331,88","331,88","331,88","331,88","-","0,05%"
"30.01.2020","331,71","331,71","331,71","331,71","-","0,21%"
"29.01.2020","331,00","331,00","331,00","331,00","-","0,49%"
"28.01.2020","329,40","329,40","329,40","329,40","-","0,13%"
"27.01.2020","328,96","328,96","328,96","328,96","-","1,58%"
"24.01.2020","323,83","323,83","323,83","323,83","-","0,18%"
"23.01.2020","323,25","323,25","323,25","323,25","-","0,87%"
"22.01.2020","320,45","320,45","320,45","320,45","-","-0,08%"
"21.01.2020","320,70","320,70","320,70","320,70","-","0,00%"
"20.01.2020","320,69","320,69","320,69","320,69","-","0,16%"
"17.01.2020","320,19","320,19","320,19","320,19","-","0,47%"
"16.01.2020","318,70","318,70","318,70","318,70","-","-0,41%"
"15.01.2020","320,02","320,02","320,02","320,02","-","-0,00%"
"14.01.2020","320,03","320,03","320,03","320,03","-","0,02%"
"13.01.2020","319,95","319,95","319,95","319,95","-","-0,48%"
"10.01.2020","321,48","321,48","321,48","321,48","-","0,37%"
"09.01.2020","320,29","320,29","320,29","320,29","-","0,27%"
"08.01.2020","319,44","319,44","319,44","319,44","-","-0,17%"
"07.01.2020","319,98","319,98","319,98","319,98","-","-0,31%"
"06.01.2020","320,98","320,98","320,98","320,98","-","0,00%"
"03.01.2020","320,97","320,97","320,97","320,97","-","0,55%"
"02.01.2020","319,23","319,23","319,23","319,23","-","-0,07%"
"30.12.2019","319,45","319,45","319,45","319,45","-","-0,27%"
"27.12.2019","320,31","320,31","320,31","320,31","-","0,53%"
"23.12.2019","318,62","318,62","318,62","318,62","-","-0,18%"
"20.12.2019","319,19","319,19","319,19","319,19","-","-0,17%"
"19.12.2019","319,73","319,73","319,73","319,73","-","-0,49%"
"18.12.2019","321,29","321,29","321,29","321,29","-","-0,48%"
"17.12.2019","322,85","322,85","322,85","322,85","-","0,17%"
"16.12.2019","322,30","322,30","322,30","322,30","-","-0,10%"
"13.12.2019","322,61","322,61","322,61","322,61","-","0,53%"
"12.12.2019","320,91","320,91","320,91","320,91","-","-0,24%"
"11.12.2019","321,69","321,69","321,69","321,69","-","0,33%"
"10.12.2019","320,64","320,64","320,64","320,64","-","0,23%"
"09.12.2019","319,91","319,91","319,91","319,91","-","0,56%"
"06.12.2019","318,14","318,14","318,14","318,14","-","0,22%"
"05.12.2019","317,43","317,43","317,43","317,43","-","-0,75%"
"04.12.2019","319,84","319,84","319,84","319,84","-","0,13%"
"03.12.2019","319,42","319,42","319,42","319,42","-","0,39%"
"02.12.2019","318,17","318,17","318,17","318,17","-","-0,90%"
"29.11.2019","321,05","321,05","321,05","321,05","-","0,04%"
"28.11.2019","320,92","320,92","320,92","320,92","-","-0,07%"
"27.11.2019","321,14","321,14","321,14","321,14","-","-0,50%"
"26.11.2019","322,77","322,77","322,77","322,77","-","-0,17%"
"25.11.2019","323,32","323,32","323,32","323,32","-","0,24%"
"22.11.2019","322,54","322,54","322,54","322,54","-","-0,10%"
"21.11.2019","322,86","322,86","322,86","322,86","-","0,23%"
"20.11.2019","322,11","322,11","322,11","322,11","-","0,29%"
"19.11.2019","321,17","321,17","321,17","321,17","-","-0,25%"
"18.11.2019","321,99","321,99","321,99","321,99","-","0,21%"
"15.11.2019","321,33","321,33","321,33","321,33","-","0,59%"
"14.11.2019","319,43","319,43","319,43","319,43","-","-0,54%"
"13.11.2019","321,15","321,15","321,15","321,15","-","-0,13%"
"12.11.2019","321,57","321,57","321,57","321,57","-","0,32%"
"11.11.2019","320,54","320,54","320,54","320,54","-","-0,57%"
"08.11.2019","322,37","322,37","322,37","322,37","-","-0,42%"
"07.11.2019","323,72","323,72","323,72","323,72","-","-0,83%"
"06.11.2019","326,44","326,44","326,44","326,44","-","-0,09%"
"05.11.2019","326,73","326,73","326,73","326,73","-","-0,20%"
"04.11.2019","327,37","327,37","327,37","327,37","-","-0,01%"
"01.11.2019","327,39","327,39","327,39","327,39","-","-0,48%"
"31.10.2019","328,97","328,97","328,97","328,97","-","0,54%"
"30.10.2019","327,19","327,19","327,19","327,19","-","-0,13%"
"29.10.2019","327,61","327,61","327,61","327,61","-","0,12%"
"28.10.2019","327,23","327,23","327,23","327,23","-","-0,42%"
"25.10.2019","328,60","328,60","328,60","328,60","-","-0,22%"
"24.10.2019","329,31","329,31","329,31","329,31","-","0,30%"
"23.10.2019","328,33","328,33","328,33","328,33","-","-0,24%"
