"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"01.06.2020","1,263","1,255","1,263","1,245","11,86M","1,24%"
"29.05.2020","1,247","1,243","1,255","1,226","15,16M","-0,20%"
"28.05.2020","1,250","1,237","1,252","1,217","17,02M","2,21%"
"27.05.2020","1,223","1,250","1,265","1,220","13,74M","-2,12%"
"26.05.2020","1,250","1,219","1,257","1,213","17,89M","2,63%"
"25.05.2020","1,217","1,180","1,217","1,171","8,93M","3,66%"
"22.05.2020","1,174","1,167","1,182","1,158","7,73M","0,26%"
"21.05.2020","1,171","1,163","1,187","1,162","8,71M","-0,38%"
"20.05.2020","1,176","1,168","1,182","1,141","11,32M","1,25%"
"19.05.2020","1,161","1,225","1,225","1,156","21,61M","-4,40%"
"18.05.2020","1,215","1,215","1,223","1,201","15,00M","-2,80%"
"15.05.2020","1,250","1,264","1,273","1,250","12,86M","0,00%"
"14.05.2020","1,250","1,285","1,311","1,238","22,71M","-2,46%"
"13.05.2020","1,281","1,250","1,290","1,240","15,65M","2,15%"
"12.05.2020","1,255","1,204","1,255","1,202","14,09M","4,19%"
"11.05.2020","1,204","1,220","1,229","1,196","8,71M","-0,50%"
"08.05.2020","1,210","1,209","1,219","1,207","4,45M","0,46%"
"07.05.2020","1,204","1,197","1,216","1,191","8,92M","0,96%"
"06.05.2020","1,193","1,206","1,215","1,192","6,87M","-1,16%"
"05.05.2020","1,207","1,205","1,217","1,192","10,35M","0,88%"
"04.05.2020","1,196","1,225","1,232","1,196","11,12M","-3,70%"
"30.04.2020","1,242","1,245","1,248","1,225","10,31M","0,69%"
"29.04.2020","1,234","1,237","1,248","1,208","12,68M","-0,20%"
"28.04.2020","1,237","1,238","1,260","1,234","10,05M","-0,60%"
"27.04.2020","1,244","1,248","1,248","1,225","6,50M","1,88%"
"24.04.2020","1,221","1,196","1,232","1,193","9,62M","1,20%"
"23.04.2020","1,207","1,235","1,243","1,199","9,17M","-0,98%"
"22.04.2020","1,219","1,224","1,237","1,204","9,04M","0,49%"
"21.04.2020","1,212","1,249","1,260","1,212","12,96M","-3,04%"
"20.04.2020","1,250","1,258","1,270","1,247","12,59M","0,08%"
"17.04.2020","1,250","1,255","1,260","1,236","14,85M","1,50%"
"16.04.2020","1,231","1,219","1,254","1,219","16,04M","1,32%"
"15.04.2020","1,215","1,220","1,235","1,207","18,08M","-0,41%"
"14.04.2020","1,220","1,210","1,225","1,201","13,31M","1,46%"
"09.04.2020","1,202","1,181","1,206","1,166","14,70M","2,51%"
"08.04.2020","1,173","1,180","1,206","1,168","10,87M","-1,68%"
"07.04.2020","1,193","1,245","1,245","1,180","18,68M","0,08%"
"06.04.2020","1,192","1,173","1,206","1,156","17,91M","3,92%"
"03.04.2020","1,147","1,155","1,166","1,126","17,06M","-0,65%"
"02.04.2020","1,155","1,133","1,155","1,100","14,24M","3,13%"
"01.04.2020","1,120","1,102","1,129","1,102","12,76M","-1,19%"
"31.03.2020","1,133","1,150","1,156","1,098","21,81M","0,18%"
"30.03.2020","1,131","1,090","1,131","1,055","14,18M","5,95%"
"27.03.2020","1,067","1,097","1,112","1,054","19,32M","-1,88%"
"26.03.2020","1,088","1,096","1,104","1,072","17,76M","-0,50%"
"25.03.2020","1,094","1,135","1,189","1,074","25,73M","1,39%"
"24.03.2020","1,079","1,048","1,089","1,036","23,08M","7,85%"
"23.03.2020","1,000","1,008","1,046","0,971","20,51M","-1,67%"
"20.03.2020","1,017","1,043","1,094","1,008","40,49M","-1,74%"
"19.03.2020","1,035","1,079","1,151","0,994","39,39M","0,49%"
"18.03.2020","1,030","1,063","1,106","1,030","15,96M","-3,10%"
"17.03.2020","1,063","1,069","1,099","1,006","23,22M","3,20%"
"16.03.2020","1,030","1,054","1,068","0,958","27,59M","-2,83%"
"13.03.2020","1,060","1,098","1,161","1,015","33,25M","5,37%"
"12.03.2020","1,006","1,190","1,200","1,006","33,73M","-19,00%"
"11.03.2020","1,242","1,266","1,308","1,234","21,31M","-2,05%"
"10.03.2020","1,268","1,378","1,394","1,268","25,31M","-7,24%"
"09.03.2020","1,367","1,390","1,444","1,357","23,32M","-10,65%"
"06.03.2020","1,530","1,557","1,565","1,506","17,74M","-4,20%"
"05.03.2020","1,597","1,669","1,669","1,591","17,13M","-2,74%"
"04.03.2020","1,642","1,589","1,642","1,573","19,86M","3,60%"
"03.03.2020","1,585","1,593","1,619","1,574","17,45M","1,60%"
"02.03.2020","1,560","1,597","1,603","1,528","16,88M","-0,95%"
