,Ultimo,Apertura,Massimo,Minimo
2015-01-04,1.885,1.767,1.933,1.764
2015-01-11,1.7369999999999999,1.876,1.886,1.709
2015-01-18,1.57,1.709,1.82,1.493
2015-01-25,1.6740000000000002,1.591,1.725,1.52
2015-02-01,1.61,1.619,1.6780000000000002,1.55
2015-02-08,1.645,1.655,1.702,1.585
2015-02-15,1.597,1.645,1.7309999999999999,1.577
2015-02-22,1.3419999999999999,1.5419999999999998,1.56,1.324
2015-03-01,1.32,1.34,1.429,1.28
2015-03-08,1.161,1.328,1.331,1.041
2015-03-15,1.206,1.148,1.395,1.13
2015-03-22,1.3430000000000002,1.222,1.3719999999999999,1.214
2015-03-29,1.264,1.351,1.355,1.207
2015-04-05,1.2229999999999999,1.238,1.271,1.187
2015-04-12,1.456,1.234,1.517,1.2209999999999999
2015-04-19,1.446,1.48,1.5130000000000001,1.364
2015-04-26,1.5219999999999998,1.4509999999999998,1.619,1.327
2015-05-03,1.6680000000000001,1.534,2.046,1.482
2015-05-10,1.79,1.7309999999999999,1.921,1.705
2015-05-17,1.845,1.829,1.926,1.7409999999999999
2015-05-24,1.8530000000000002,1.857,1.989,1.805
2015-05-31,2.2359999999999998,1.867,2.279,1.8619999999999999
2015-06-07,2.261,2.256,2.42,2.106
2015-06-14,2.295,2.305,2.454,2.229
2015-06-21,2.154,2.186,2.227,2.053
2015-06-28,2.278,2.372,2.4290000000000003,2.207
2015-07-05,2.161,2.356,2.376,2.05
2015-07-12,1.945,2.108,2.205,1.931
2015-07-19,1.874,1.921,2.005,1.8530000000000002
2015-07-26,1.7830000000000001,1.8869999999999998,1.935,1.7830000000000001
2015-08-02,1.835,1.79,1.9069999999999998,1.734
2015-08-09,1.806,1.84,1.8519999999999999,1.73
2015-08-16,1.8659999999999999,1.7830000000000001,1.885,1.7409999999999999
2015-08-23,1.9080000000000001,1.911,1.9980000000000002,1.865
2015-08-30,1.883,1.9269999999999998,2.009,1.874
2015-09-06,1.835,1.8559999999999999,1.903,1.8159999999999998
2015-09-13,1.775,1.851,1.944,1.754
2015-09-20,1.786,1.771,1.807,1.704
2015-09-27,1.636,1.7730000000000001,1.7790000000000001,1.608
