"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"29.12.2019","147,53","146,57","147,74","145,88","0,35%"
"22.12.2019","147,02","146,80","147,10","146,33","0,15%"
"15.12.2019","146,80","148,76","149,06","146,48","-1,46%"
"08.12.2019","148,97","146,01","148,97","146,01","1,69%"
"01.12.2019","146,50","147,50","147,53","146,06","-1,12%"
"24.11.2019","148,16","148,55","149,79","147,85","-0,54%"
"17.11.2019","148,97","148,50","149,23","148,17","0,32%"
"10.11.2019","148,50","148,75","149,01","147,20","-0,50%"
"03.11.2019","149,25","151,51","151,92","147,85","-1,75%"
"27.10.2019","151,91","152,03","152,90","151,59","-0,43%"
"20.10.2019","152,56","152,61","153,01","151,59","0,03%"
"13.10.2019","152,51","153,00","153,25","152,46","-0,01%"
"06.10.2019","152,53","154,07","154,20","152,20","-1,00%"
"29.09.2019","154,07","153,67","154,55","153,11","-0,10%"
"22.09.2019","154,23","153,08","154,74","153,08","0,75%"
"15.09.2019","153,08","153,22","153,95","152,70","-0,33%"
"08.09.2019","153,59","153,37","155,00","150,88","0,14%"
"01.09.2019","153,37","151,36","154,60","151,36","1,33%"
"25.08.2019","151,36","147,14","153,11","147,14","2,35%"
"18.08.2019","147,89","146,30","148,08","145,40","0,87%"
"11.08.2019","146,61","141,55","147,30","141,55","3,57%"
"04.08.2019","141,55","145,62","147,19","141,55","-2,41%"
"28.07.2019","145,04","144,70","145,20","143,69","0,23%"
"21.07.2019","144,70","144,19","147,00","143,43","0,22%"
"14.07.2019","144,38","142,62","145,50","142,62","1,33%"
"07.07.2019","142,49","142,56","143,64","142,10","-0,05%"
"30.06.2019","142,56","138,80","144,88","138,80","2,86%"
"23.06.2019","138,59","138,12","138,80","137,30","0,48%"
"16.06.2019","137,93","135,81","139,72","135,81","1,52%"
"09.06.2019","135,87","135,22","136,10","134,31","0,42%"
"02.06.2019","135,30","132,14","136,20","131,70","2,39%"
"26.05.2019","132,14","132,97","133,15","131,18","-0,90%"
"19.05.2019","133,34","132,07","133,34","131,54","0,96%"
"12.05.2019","132,07","131,97","132,44","130,60","0,08%"
"05.05.2019","131,97","133,07","133,47","131,90","-1,07%"
"28.04.2019","133,40","133,34","133,79","132,78","0,04%"
"21.04.2019","133,34","133,38","133,38","131,87","-0,03%"
"14.04.2019","133,38","134,09","134,21","132,80","-0,42%"
"07.04.2019","133,94","132,89","134,36","132,73","0,84%"
"31.03.2019","132,82","132,08","132,86","131,74","-0,10%"
"24.03.2019","132,95","133,07","133,45","132,26","-0,35%"
"17.03.2019","133,42","132,53","133,52","132,03","0,67%"
"10.03.2019","132,53","132,44","132,76","131,50","0,07%"
"03.03.2019","132,44","129,98","132,68","129,50","1,89%"
